"root_domain","linking_root_domain","domain_authority"
"youtube.com","22,607,629","100"
"www.google.com","14,398,530","100"
"apple.com","6,484,318","100"
"www.blogger.com","30,028,101","99"
"support.google.com","5,423,002","99"
"play.google.com","3,826,419","99"
"linkedin.com","11,938,239","99"
"microsoft.com","5,185,724","99"
"mozilla.org","2,400,157","98"
"docs.google.com","3,308,920","98"
"youtu.be","5,144,270","98"
"cloudflare.com","6,499,490","98"
"en.wikipedia.org","6,968,102","98"
"wordpress.org","11,922,493","98"
"maps.google.com","5,875,983","98"
"whatsapp.com","3,707,046","97"
"europa.eu","2,236,695","97"
"drive.google.com","2,429,592","97"
"accounts.google.com","2,569,310","97"
"sites.google.com","2,215,377","97"
"bp.blogspot.com","17,874,027","97"
"googleusercontent.com","3,402,913","97"
"plus.google.com","11,131,143","97"
"adobe.com","2,860,484","97"
"facebook.com","58,672,266","96"
"uol.com.br","686,487","96"
"github.com","2,852,463","96"
"amazon.com","4,950,334","96"
"t.me","1,226,097","96"
"vimeo.com","3,544,015","96"
"policies.google.com","2,697,048","96"
"istockphoto.com","3,614,164","96"
"vk.com","1,784,477","96"
"search.google.com","1,490,673","95"
"buydomains.com","1,080,318","95"
"medium.com","1,743,134","95"
"tools.google.com","1,735,403","95"
"draft.blogger.com","11,068,264","95"
"dropbox.com","1,103,147","95"
"google.com.br","297,272","95"
"gravatar.com","12,331,019","95"
"developers.google.com","1,124,080","95"
"google.es","478,674","95"
"dailymotion.com","1,136,974","95"
"bbc.com","908,589","95"
"google.co.jp","658,829","95"
"cnn.com","1,638,216","95"
"nih.gov","1,458,900","95"
"issuu.com","996,197","95"
"slideshare.net","1,004,989","95"
"bbc.co.uk","1,737,497","95"
"jimdofree.com","1,716,963","95"
"enable-javascript.com","9,135,850","95"
"gstatic.com","628,142","95"
"nytimes.com","2,187,397","95"
"ok.ru","363,237","95"
"news.google.com","798,135","95"
"fr.wikipedia.org","635,159","95"
"pt.wikipedia.org","417,690","95"
"imdb.com","1,517,976","95"
"w3.org","1,130,991","95"
"shopify.com","2,546,571","95"
"line.me","899,820","95"
"brandbucket.com","11,183,058","95"
"www.yahoo.com","1,363,091","95"
"theguardian.com","1,579,863","95"
"creativecommons.org","1,732,542","95"
"wikimedia.org","2,042,011","95"
"www.weebly.com","5,292,372","95"
"files.wordpress.com","7,652,325","95"
"google.de","1,127,532","95"
"live.com","957,286","95"
"youronlinechoices.com","578,394","95"
"feedburner.com","1,832,105","95"
"opera.com","949,138","95"
"es.wikipedia.org","962,338","95"
"who.int","2,007,545","95"
"globo.com","454,197","95"
"paypal.com","1,129,951","95"
"tiktok.com","711,813","94"
"marketingplatform.google....","865,093","94"
"nature.com","623,350","94"
"bit.ly","4,932,683","94"
"huffingtonpost.com","1,085,850","94"
"office.com","615,591","94"
"amazon.co.jp","865,968","94"
"news.yahoo.com","691,996","94"
"samsung.com","400,206","94"
"elpais.com","430,469","94"
"netvibes.com","1,221,415","94"
"un.org","607,897","94"
"afternic.com","2,968,105","94"
"ru.wikipedia.org","377,667","94"
"list-manage.com","790,788","94"
"google.fr","412,485","94"
"elmundo.es","243,029","94"
"msn.com","1,102,606","94"
"fandom.com","619,906","94"
"google.it","443,145","94"
"researchgate.net","717,878","94"
"independent.co.uk","771,370","94"
"picasaweb.google.com","634,186","94"
"fb.com","463,003","94"
"t.co","2,159,709","94"
"de.wikipedia.org","676,549","94"
"dailymail.co.uk","1,124,654","94"
"shutterstock.com","528,263","94"
"nasa.gov","685,145","94"
"terra.com.br","200,163","94"
"pinterest.com","8,634,379","94"
"telegraph.co.uk","1,004,089","94"
"ytimg.com","946,595","94"
"hatena.ne.jp","1,525,606","94"
"mail.ru","484,878","94"
"bing.com","1,022,819","94"
"thesun.co.uk","420,519","94"
"google.co.uk","600,839","94"
"wsj.com","987,035","94"
"webmd.com","806,830","94"
"get.google.com","643,783","94"
"www.gov.uk","633,920","94"
"aboutads.info","627,620","94"
"domainmarket.com","1,078,822","94"
"washingtonpost.com","1,173,167","94"
"cdc.gov","906,677","94"
"pixabay.com","478,002","94"
"telegram.me","375,523","94"
"twitter.com","59,658,410","94"
"time.com","839,884","94"
"mediafire.com","863,616","94"
"abril.com.br","275,234","94"
"estadao.com.br","135,942","94"
"wikia.com","509,769","94"
